CarId;Path
1;/images/cars/1/front.jpg
1;/images/cars/1/rear.jpg
2;/images/cars/2/front.jpg
2;/images/cars/2/interior.jpg
3;/images/cars/3/front.jpg
3;/images/cars/3/rear.jpg
4;/images/cars/4/front.jpg
4;/images/cars/4/rear.jpg
5;/images/cars/5/front.jpg
5;/images/cars/5/interior.jpg
6;/images/cars/6/front.jpg
7;/images/cars/7/front.jpg
8;/images/cars/8/front.jpg
9;/images/cars/9/front.jpg
10;/images/cars/10/front.jpg
11;/images/cars/11/front.jpg
12;/images/cars/12/front.jpg
13;/images/cars/13/front.jpg
14;/images/cars/14/front.jpg
15;/images/cars/15/front.jpg
16;/images/cars/16/front.jpg
17;/images/cars/17/front.jpg
18;/images/cars/18/front.jpg
19;/images/cars/19/front.jpg
20;/images/cars/20/front.jpg
